Candidate,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Major_Accuracy,Time_ms,Gen_ms,Proj_ms,NFE_effective,CollisionFree,PhysSafe,GoalDist_m,N_Variants,N_Geos,N_Seeds,Missing_Seeds,scene,engine,K,mpc_batch,controller,threshold,backbone,generation
2,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260702_053207,20260702_053207,1,6:20260702_053207,0.08571428571428573,0.09897433186107871,0.15000000000000002,120.11129815138038,93.0987747457968,27.01252340558357,20.0,,,,7,1,1,,corridor,,20,4,pid_stopgo,0.5,,Gen11
7,corridor|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-corridor/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260708_161114,20260708_161114,1,6:20260708_161114,0.09411764705882353,0.12588785034725114,0.12857142857142856,200.1754710479318,90.8054872905254,109.36998375740642,20.0,0.5,0.6588235294117647,2.0140039232170084,17,1,1,,corridor,,20,4,pid_stopgo,0.5,,Gen11
9,empty|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-empty/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260703_093241,20260703_093241,1,6:20260703_093241,1.0,0.0,1.0,117.3891555241828,92.2148035307057,25.174351993477124,20.0,,,,7,1,1,,empty,,20,4,pid_stopgo,0.5,,Gen11
16,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_Fix14)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260706_173205,20260706_142723,2,6:20260706_173205,0.0,0.0,0.0,1914.7127463519064,85.62699563686714,1829.085750715039,20.0,0.0,0.31538461538461543,2.6044383868743988,13,1,1,,pillars,,20,4,pid_stopgo,0.5,,Gen11
17,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_mjpc_T0.5,20260702_150659,20260702_150659,1,6:20260702_150659,0.0,0.0,0.0,111.8828810819845,87.77423047312938,24.10865060885512,20.0,,,,7,1,1,,pillars,,20,4,mjpc,0.5,,Gen11
18,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_const_v_T0.5,20260702_200754,20260702_200754,1,6:20260702_200754,0.0,0.0,0.0,108.99873955515139,85.20261858172839,23.79612097342302,20.0,,,,7,1,1,,pillars,,20,4,pid_const_v,0.5,,Gen11
19,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans(Bf_U8)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260704_205253,20260704_205253,1,6:20260704_205253,0.0,0.0,0.0,743.0929166999528,86.88967369595107,656.2032430040018,20.0,,,,10,2,1,,pillars,,20,4,pid_stopgo,0.5,,Gen11
22,pillars|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-pillars/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260710_213343,20260710_213343,1,6:20260710_213343,0.0,0.0,0.0,920.1685805312096,88.25036845771537,831.9182120734941,20.0,0.0,0.16428571428571428,1.6567253875464902,14,1,1,,pillars,,20,4,pid_stopgo,0.5,,Gen11
24,s_curve|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,,,0,,0.0,0.0,0.0,108.31878400123212,85.84187736203695,22.476906639195157,20.0,,,,7,1,1,,s_curve,,20,4,pid_stopgo,0.5,,Gen11
25,s_curve|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans(Bf_DC-FIX)/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_anchorP_T0.5,,,0,,0.0,0.0,0.0,105.89798553745925,85.52751063908819,20.370474898371054,20.0,,,,7,1,1,,s_curve,,20,4,pid_stopgo_anchorP,0.5,,Gen11
28,s_curve|K20|Gen11,/u/home/llim/FMPCC/FM-PCC/logs/UAV_FM/uav-s_curve/plans/flow_matching_v3_uav/H8_Dmodels.diffusion.FlowMatchingODE_9D/K20_mpc4_pid_stopgo_T0.5,20260709_101109,20260705_171230,2,6:20260709_101109,0.012,0.03249615361854384,0.02619047619047619,296.10655857719524,85.71457469863368,210.39198387856152,20.0,0.0,0.09411764705882353,12.710944117854803,17,6,1,,s_curve,,20,4,pid_stopgo,0.5,,Gen11
29,corridor|af|K1|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K1_mpc4_pid_stopgo_T0.5,20260823_133049,20260823_133049,1,6:20260823_133049,0.14782608695652175,0.1528556159238865,0.23333333333333334,135.36654555245713,7.6485629696403405,127.71798258281682,1.9130434782608696,0.14782608695652175,0.27826086956521734,4.252324087744643,23,1,1,,corridor,af,1,4,pid_stopgo,0.5,sit,Gen15
30,corridor|af|K2|bbsit,/u/home/llim/FMPCC/FM-PCC/logs/UAV_MIX/uav-corridor/plans/mix_uav_af/H8_Dmodels.af_diffusion.AlphaFlowODE_9D_as1_ae0_bbsit/Eaf_K2_mpc4_pid_stopgo_T0.5,20260823_165703,20260823_165703,1,6:20260823_165703,0.26956521739130435,0.2910771339707139,0.4555555555555556,92.63405083333953,13.235698082626937,79.39835275071259,3.3043478260869565,0.26956521739130435,0.5130434782608696,1.9593503980777252,23,1,1,,corridor,af,2,4,pid_stopgo,0.5,sit,Gen15
