Rank,Candidate,Folder,scene,engine,K,NFE_effective,Success+Constraint (%),Std (%),Success (%),Success relaxed (%),CollisionFree (%),PhysSafe (%),Time (ms),Gen (ms),Proj (ms),OverBudget (frac),CB tripped (rate),GoalDist_m,StepsToGoal,TrackErr,Pareto,Seeds,Missing_Seeds,Latest_Snapshot
1,9,empty|K20|Gen11,empty,,20,20.0,100.0,0.0,100.0,,,,117.3891555241828,92.2148035307057,25.174351993477124,1.0,0.0,,,0.13164792296539168,FRONT,1,,20260703_093241
2,31,corridor|fm|K20,corridor,fm,20,29.09090909090909,63.91304347826087,45.94317193293232,64.34782608695653,65.21739130434783,63.91304347826087,65.21739130434783,459.98076368308324,185.6915345125434,274.28922917054,1.0,0.0,4.088771173585625,269.38,54.54394732536205,,1,,20260819_232044
3,29,corridor|fm|K10,corridor,fm,10,16.52173913043478,51.73913043478261,42.4931886012891,61.73913043478261,63.04347826086957,51.73913043478261,63.04347826086957,259.70138257727103,92.56133525361787,167.14004732365314,1.0,0.0,2.510865826316466,272.03506944444445,37.752054283406785,,1,,20260819_212538
4,33,corridor|fm|K5,corridor,fm,5,8.521739130434783,40.0,40.10854836782195,59.130434782608695,59.56521739130435,40.0,59.56521739130435,183.67296656549368,48.28200386894574,135.39096269654792,1.0,0.0,2.3482875970619683,271.4058779761905,37.05840152009223,,1,,20260819_193352
5,34,corridor|mf|K10|bbunet|dp0.5,corridor,mf,10,16.52173913043478,32.17391304347826,36.110521378862806,44.34782608695652,47.39130434782609,32.17391304347826,47.39130434782609,336.4222950134895,97.30796306951925,239.11433194397026,1.0,0.0,10.81244145326597,269.3007407407407,37.199180816529,,1,,20260820_171218
6,36,corridor|mf|K20|bbunet|dp0.5,corridor,mf,20,20.0,29.5,32.47691487810996,42.5,45.0,29.5,45.0,421.57900133220585,179.0230631047689,242.5559382274369,1.0,0.0,13.322067957142618,273.85303030303027,64.60117526870987,,1,,20260820_220831
7,38,corridor|mf|K5|bbunet|dp0.5,corridor,mf,5,8.521739130434783,23.913043478260864,28.397662248361616,36.52173913043478,38.260869565217384,23.913043478260864,38.260869565217384,241.0502120529601,49.21762892332449,191.83258312963557,1.0,0.0,12.605747857674594,271.4851322751323,42.693081974670974,,1,,20260820_164530
8,37,corridor|mf|K2|bbunet|dp0.5,corridor,mf,2,3.3043478260869565,13.043478260869568,20.309514285437675,17.82608695652174,18.26086956521739,13.043478260869568,18.26086956521739,251.62635594410932,19.849426744182434,231.776929199927,0.7792808182485775,0.0,17.226868661274242,273.14375,59.4346227707416,,1,,20260820_104904
9,35,corridor|mf|K1|bbunet|dp0.5,corridor,mf,1,1.9130434782608696,10.434782608695654,20.103700907298936,17.391304347826082,17.82608695652174,10.434782608695654,18.260869565217387,233.59245633386487,11.04276505101644,222.54969128284839,0.7117509507407758,0.0,17.516003919093087,269.8429487179487,61.26803697669607,,1,,20260820_104902
10,7,corridor|K20|Gen11,corridor,,20,20.0,9.411764705882353,12.588785034725113,17.647058823529413,19.41176470588235,50.0,65.88235294117646,200.1754710479318,90.8054872905254,109.36998375740642,1.0,0.0,2.0140039232170084,283.26666666666665,12.208783480788059,,1,,20260708_161114
11,2,corridor|K20|Gen11,corridor,,20,20.0,8.571428571428573,9.89743318610787,8.571428571428573,,,,120.11129815138038,93.0987747457968,27.01252340558357,1.0,0.0,,,7.625456598894841,,1,,20260702_053207
12,28,s_curve|K20|Gen11,s_curve,,20,20.0,1.2,3.249615361854384,1.9230769230769231,8.823529411764707,0.0,9.411764705882353,296.10655857719524,85.71457469863368,210.39198387856152,1.0,0.0,12.710944117854803,586.0,67.57041733474435,,1,,20260709_101109
13,32,corridor|fm|K2,corridor,fm,2,3.3043478260869565,0.8695652173913043,2.817713347133853,30.0,34.347826086956516,0.8695652173913043,34.782608695652165,124.15932048719333,18.96359877286152,105.19572171433184,0.7456302151954326,0.0,8.154709209812278,267.76969954648524,44.66634521608585,,1,,20260819_182530
14,16,pillars|K20|Gen11,pillars,,20,20.0,0.0,0.0,0.0,22.307692307692307,0.0,31.538461538461544,1914.7127463519064,85.62699563686714,1829.085750715039,1.0,0.0,2.6044383868743988,,2.65765089628274,,1,,20260706_173205
15,17,pillars|K20|Gen11,pillars,,20,20.0,0.0,0.0,0.0,,,,111.8828810819845,87.77423047312938,24.10865060885512,1.0,0.0,,,1.7441494791051482,,1,,20260702_150659
16,18,pillars|K20|Gen11,pillars,,20,20.0,0.0,0.0,0.0,,,,108.99873955515139,85.20261858172839,23.79612097342302,1.0,0.0,,,1.1228303442314853,,1,,20260702_200754
17,19,pillars|K20|Gen11,pillars,,20,20.0,0.0,0.0,0.0,,,,743.0929166999528,86.88967369595107,656.2032430040018,1.0,0.0,,,1.919335726275277,,1,,20260704_205253
18,22,pillars|K20|Gen11,pillars,,20,20.0,0.0,0.0,2.1428571428571432,16.428571428571427,0.0,16.428571428571427,920.1685805312096,88.25036845771537,831.9182120734941,1.0,0.0,1.6567253875464902,430.4444444444445,1.7508573860420504,,1,,20260710_213343
19,24,s_curve|K20|Gen11,s_curve,,20,20.0,0.0,0.0,0.0,,,,108.31878400123212,85.84187736203695,22.476906639195157,1.0,0.0,,,39.25832672081436,,1,,
20,25,s_curve|K20|Gen11,s_curve,,20,20.0,0.0,0.0,0.0,,,,105.89798553745925,85.52751063908819,20.370474898371054,1.0,0.0,,,0.14486800863466023,FRONT,1,,
