Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness
1,h,H8_K10_Meuler_T1_Dmodels.diffusion.GaussianDiffusion,79.44444444444443,,0.8990273001022899,,1.7082914932769022
2,A,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,75.0,,9.212572100576624,,0.5168448687485785
3,C,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,75.0,,0.4862641585061558,,1.0712038919393247
4,H,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,75.0,,0.5175123132645304,,1.9919415286207243
5,J,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,75.0,,0.5201762223903509,,1.9920117916359223
6,g,H8_K10_Dmodels.diffusion.GaussianDiffusion,70.55555555555556,,0.18355172235159142,,2.323974764364599
7,j,H8_K20_Meuler_Dmodels.diffusion.GaussianDiffusion,69.44444444444446,,0.49301990236978027,,2.888529208032919
8,i,H8_K1_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.018548036005825972,,1.4598089866036768
9,l,H8_K10_Meuler_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.18497272888690708,,2.049428120359858
10,k,H8_K5_Mmidpoint_Dmodels.diffusion.GaussianDiffusion,67.77777777777777,,0.1503797588533413,,2.2035084806674634
11,I,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,66.66666666666666,,0.5470724177739555,,1.9240581088997533
12,L,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.4959228520052386,,1.5801486856638232
13,M,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,66.66666666666666,,0.060289406941576064,,0.9066474575120341
14,X,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,63.88888888888889,,0.6384359424032199,,1.9595846239101324
15,E,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,63.33333333333333,,0.29867651375087007,,1.8607837442932074
16,B,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,61.61616161616163,,8.094547430308419,,2.0408155975726667
17,K,H8_K10_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,58.333333333333336,,0.17482318375552167,,1.9677301933681186
18,N,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,58.333333333333336,,0.4550292989258491,,1.8136583153606847
19,D,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,56.666666666666664,,0.5660697696761865,,1.9548480255231746
20,T,H8_K20_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,55.55555555555556,,1.109663479038443,,1.7573098243613472
21,O,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,52.77777777777778,,0.48172675408790183,,1.8614680102926522
22,f,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,49.99999999999999,,0.5212479080327758,,1.4857273369094053
23,S,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.22222222222223,,0.4277725139594925,,1.9818544478506035
24,V,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.4883378997298318,,1.6845225035021054
25,W,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.5010685531442934,,1.9389621579594283
26,b,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.6386795671910493,,2.738823357342205
27,e,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,47.222222222222214,,0.5523157985964927,,1.0587206540277765
28,Q,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,44.44444444444444,,0.05232034429903898,,1.5354228876070755
29,U,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,44.44444444444444,,0.04990740635062139,,2.3815011942283446
30,R,(legacy_F2)H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,41.66666666666667,,0.04940915735074775,,1.6838644540907826
31,Z,H8_K20_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,41.66666666666667,,1.3697430910397521,,1.8851561395561967
32,[,H8_K20_Mrk4_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,38.88888888888889,,1.5537797874973425,,3.6926307289625693
33,Y,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,36.111111111111114,,0.5597170775187599,,2.1420637423805844
34,c,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,36.111111111111114,,0.5416661307658616,,2.1420843576452064
35,F,H8_K1_T0.5_Dmodels.GaussianDiffusion,33.33333333333333,,0.03230712276475573,,2.6469204726694575
36,],H8_K40_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,30.555555555555557,,2.790282780851902,,2.1900579320587825
37,P,H8_K10_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,30.555555555555554,,0.5344827706469627,,2.7790060456097807
