seed,variant,constraint_type,halfspace_variant,metric,value,Candidate,Folder_Name
6,dpcc-r,halfspace,top-right-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,n_success_and_constraints,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,n_steps,68.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,n_steps_std,6.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,n_violations,5.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,n_violations_std,2.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,total_violations,0.025844954836062112,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,total_violations_std,0.011177315787328125,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,avg_time,0.33121930253744747,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,avg_time_std,0.03502149205677593,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,collision_free_completed,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-right-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_success_and_constraints,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_steps,79.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_steps_std,21.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_violations,7.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,n_violations_std,6.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,total_violations,0.0935664215199649,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,total_violations_std,0.09217674105241892,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,avg_time,0.2320789478154018,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,avg_time_std,0.0371873881488011,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,collision_free_completed,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,top-left-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_success_and_constraints,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_steps,82.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_steps_std,3.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_violations,4.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,n_violations_std,1.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,total_violations,0.06410251326885442,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,total_violations_std,0.05007810530670083,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,avg_time,0.2618595800015166,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,avg_time_std,0.02210988884713321,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,collision_free_completed,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r,halfspace,both-hard,collision_free_completed_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success_and_constraints,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_success_and_constraints_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_steps,63.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_steps_std,1.5,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_violations,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,n_violations_std,0.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,total_violations,4.075467585455683e-08,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,total_violations_std,3.1590461722214025e-09,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,avg_time,0.3650177854166433,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,avg_time_std,0.045693811145668894,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
6,dpcc-r-tightened,halfspace,top-right-hard,collision_free_completed,1.0,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5
