Candidate_Letter,Folder_Name,Full_Path,Latest_Snapshot,First_Snapshot,Snapshot_Count,Snapshot_By_Seed,Accuracy,Accuracy_Std,Time_ms,Time_Std,Robustness_Score,Missing_Seeds
1,H8_K2_Meuler_T0.5_A0.5_Dmix_visual_avoiding.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual-mix/plans/mix_visual_avoiding_mf/H8_Dmix_visual_avoiding.models.visual_mf_diffusion.VisualMeanFlow_a1.5_b1.0_aw1_VTrue_steps200_bs64_filmv1_Emf_tslogit_normal/H8_K2_Meuler_T0.5_A0.5_Dmix_visual_avoiding.models.visual_mf_diffusion.VisualMeanFlow_VTrue_mpc4_filmv1_Emf,20260822_204705,20260822_185450,3,6:20260822_204705,0.7388888888888889,,0.05973089677538521,,80.1224584127865,"[7, 8, 9, 10]"
2,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding(unfull)/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,20260620_235932,20260620_230830,2,6:20260620_235932,0.75,,9.212572100576624,,0.5168448687485785,"[7, 8, 9, 10]"
3,(old_no_mpc_traj)H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/(old_no_mpc_traj)H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4,20260625_052023,20260621_210659,13,6:20260622_164149 | 7:20260625_052023 | 8:20260625_005203 | 9:20260625_022032 | 10:20260625_035121,0.6161616161616162,,8.094547430308419,,2.0408155975726667,
4,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv1,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv1,20260715_043315,20260715_035855,3,6:20260715_043315,0.5,,0.8241979767380122,,1.8683474537588556,"[7, 8, 9, 10]"
5,H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/fm_visual_avoiding/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching/H8_K20_Meuler_T0.5_Dfm_visual_avoiding.models.visual_gaussian_diffusion.VisualFlowMatching_VTrue_mpc4_filmv2,20260630_134307,20260630_092450,6,6:20260630_134307,0.75,,4.03206348055337,,2.197861748206062,"[7, 8, 9, 10]"
6,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/visual_avoiding_dpcc(unfull)/H8_K20_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_aw10_VTrue_steps200_bs64/H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,20260621_035912,20260621_033539,3,6:20260621_035912,0.75,,0.4862641585061558,,1.0712038919393247,"[7, 8, 9, 10]"
7,H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il-visual/plans/visual_avoiding_dpcc/H8_K20_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_aw10_VTrue_steps200_bs64/H8_K20_T0.5_Ddiffuser_visual_avoiding.models.visual_gaussian_diffusion.VisualGaussianDiffusion_VTrue_steps200_mpc4,20260624_100850,20260622_111937,15,6:20260622_114259 | 7:20260624_090122 | 8:20260624_092659 | 9:20260624_094540 | 10:20260624_100850,0.5666666666666667,,0.5660697696761865,,1.9548480255231746,
8,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,20260506_034806,20260506_001010,20,6:20260506_034806 | 7:20260506_034806 | 8:20260506_034806 | 9:20260506_034806 | 10:20260506_034806,0.6333333333333333,,0.29867651375087007,,1.8607837442932074,
9,H8_K1_T0.5_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K1_Dmodels.GaussianDiffusion_aw10/H8_K1_T0.5_Dmodels.GaussianDiffusion,20260521_121737,20260521_112056,20,6:20260521_121737 | 7:20260521_121737 | 8:20260521_121737 | 9:20260521_121737 | 10:20260521_121737,0.3333333333333333,,0.03230712276475573,,2.6469204726694575,
10,H8_K20_T0.5_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/H8_K20_T0.5_Dmodels.GaussianDiffusion,20260514_085339,20260514_085339,5,6:20260514_085339 | 7:20260514_085339 | 8:20260514_085339 | 9:20260514_085339 | 10:20260514_085339,,,,,0.0,
11,H8_K20_T0.5_Dmodels.GaussianDiffusion_msg20trials,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/H8_K20_T0.5_Dmodels.GaussianDiffusion_msg20trials,20260818_092633,20260817_104350,11,6:20260818_092633 | 7:20260818_000846 | 8:20260818_024853 | 9:20260818_045303 | 10:20260818_065826,0.7084848484848485,,0.5195470640029928,,2.216125507835968,
12,H8_K20_T1_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/H8_K20_T1_Dmodels.GaussianDiffusion,20260804_234416,20260804_223649,3,6:20260804_234416,0.6944444444444445,,1.8759087539979793,,2.613281273094289,"[7, 8, 9, 10]"
13,X_H8_K20_T0.05_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/X_H8_K20_T0.05_Dmodels.GaussianDiffusion,20260804_135435,20260804_132929,3,6:20260804_135435,0.6944444444444443,,0.523817799386293,,1.3497737112207657,"[7, 8, 9, 10]"
14,X_H8_K20_T0.1_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/X_H8_K20_T0.1_Dmodels.GaussianDiffusion,20260804_103242,20260804_100750,3,6:20260804_103242,0.6944444444444443,,0.518585280711196,,1.3497419461750748,"[7, 8, 9, 10]"
15,X_H8_K20_T1_Dmodels.GaussianDiffusion,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10/X_H8_K20_T1_Dmodels.GaussianDiffusion,20260804_162821,20260804_160307,3,6:20260804_162821,0.6944444444444443,,0.5256820730269127,,1.3498349258742683,"[7, 8, 9, 10]"
16,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,20260509_091817,20260504_161950,5,6:20260509_091817 | 7:20260504_161950 | 8:20260504_164443 | 9:20260504_170630 | 10:20260504_173624,0.75,,0.5175123132645304,,1.9919415286207243,
17,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,20260510_102451,20260510_042832,20,6:20260510_102451 | 7:20260510_102451 | 8:20260510_102451 | 9:20260510_102451 | 10:20260510_102451,0.6666666666666666,,0.5470724177739555,,1.9240581088997533,
18,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/diffusion/H8_K20_T1_Dmodels.GaussianDiffusion_aw10,20260509_153238,20260509_092510,20,6:20260509_153238 | 7:20260509_153238 | 8:20260509_153238 | 9:20260509_153238 | 10:20260509_153238,0.75,,0.5201762223903509,,1.9920117916359223,
19,H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/flow_matching_v3_alphaflow(Bf_U3)/H8_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_aw10_bbdit_tslogit_normal_ai1.0_ae0.0_ag25.0_rf0.5/H8_K10_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,20260724_030710,20260724_024408,3,6:20260724_030710,0.638888888888889,,0.37883236372382867,,1.7255338258154729,"[7, 8, 9, 10]"
20,H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,/data/home/llim/FMPCC/FM-PCC/logs/avoiding-d3il/plans/flow_matching_v3_alphaflow(Bf_U3)/H8_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE_aw10_bbdit_tslogit_normal_ai1.0_ae0.0_ag25.0_rf0.5/H8_K1_Meuler_T0.5_Dflow_matcher_v3_alphaflow.models.AlphaFlowODE,20260724_021135,20260724_020627,3,6:20260724_021135,0.8055555555555555,,0.024167145563037465,,0.9780779949990654,"[7, 8, 9, 10]"
