Rank,Candidate,Folder,Accuracy (%),Accuracy Std (%),Time (ms),Time Std (ms),Robustness
1,L,H8_K10_Meuler_T1_Dmodels.diffusion.GaussianDiffusion,79.44444444444443,,0.8990273001022899,,1.7082914932769022
2,D,H8_K20_Dmodels.GaussianDiffusion_aw10_thres0.5,75.0,,0.5175123132645304,,1.9919415286207243
3,F,H8_K20_T1_Dmodels.GaussianDiffusion_aw10,75.0,,0.5201762223903509,,1.9920117916359223
4,K,H8_K10_Dmodels.diffusion.GaussianDiffusion,70.55555555555556,,0.18355172235159142,,2.323974764364599
5,N,H8_K20_Meuler_Dmodels.diffusion.GaussianDiffusion,69.44444444444446,,0.49301990236978027,,2.888529208032919
6,M,H8_K1_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.018548036005825972,,1.4598089866036768
7,P,H8_K10_Meuler_Dmodels.diffusion.GaussianDiffusion,68.33333333333333,,0.18497272888690708,,2.049428120359858
8,O,H8_K5_Mmidpoint_Dmodels.diffusion.GaussianDiffusion,67.77777777777777,,0.1503797588533413,,2.2035084806674634
9,E,H8_K20_T0.5_Dmodels.GaussianDiffusion_aw1,66.66666666666666,,0.5470724177739555,,1.9240581088997533
10,A,H8_K10_Dmodels.GaussianDiffusion_aw10_thres0.5,63.33333333333333,,0.29867651375087007,,1.8607837442932074
11,G,H8_K10_Meuler_T0.5_Dmodels.diffusion.GaussianDiffusion,58.333333333333336,,0.17482318375552167,,1.9677301933681186
12,B,H8_K1_T0.5_Dmodels.GaussianDiffusion,33.33333333333333,,0.03230712276475573,,2.6469204726694575
13,H,H8_K10_Meuler_Dflow_matcher_v3_imeanflow.models.iMFDiffusion,16.666666666666664,,0.41181408954930165,,4.6254939379311795
14,I,H8_K1_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,0.0,,0.09063100364978371,,5.489816290886042
15,J,H8_K2_Meuler_T0.5_Dflow_matcher_v3_imeanflow.models.iMeanFlowODE,0.0,,0.11097103878911581,,5.663483366264396
